experiment_name,Batch Size,Forward Latency (s),Forward Throughput (samples/s),Forward Peak Memory (MB),Generate Throughput (tokens/s),Generate Peak Memory (MB),Quantization Scheme
fp16-batch_size(4)-sequence_length(512)-new_tokens(1000),4,0.233,17.2,17865,137.0,18509,fp16
fp16-batch_size(8)-sequence_length(512)-new_tokens(1000),8,0.467,17.1,19463,236.0,20524,fp16
fp16-batch_size(16)-sequence_length(512)-new_tokens(1000),16,0.937,17.1,22458,319.0,24393,fp16
bnb-batch_size(16)-sequence_length(512)-new_tokens(1000),16,0.94,17.0,13155,211.0,15254,bnb
fp16-batch_size(2)-sequence_length(512)-new_tokens(1000),2,0.118,16.9,17158,68.0,17523,fp16
gptq-batch_size(16)-sequence_length(512)-new_tokens(1000),16,0.963,16.6,13314,242.0,15235,gptq
bnb-batch_size(8)-sequence_length(512)-new_tokens(1000),8,0.483,16.6,10261,134.0,11330,bnb
gptq-batch_size(8)-sequence_length(512)-new_tokens(1000),8,0.486,16.5,10303,164.0,11280,gptq
fp16-batch_size(1)-sequence_length(512)-new_tokens(1000),1,0.0633,15.8,16907,35.3,17066,fp16
bnb-batch_size(4)-sequence_length(512)-new_tokens(1000),4,0.254,15.7,8797,68.5,9317,bnb
gptq-batch_size(4)-sequence_length(512)-new_tokens(1000),4,0.261,15.3,8747,111.0,9239,gptq
bnb-batch_size(2)-sequence_length(512)-new_tokens(1000),2,0.141,14.2,8166,35.0,8401,bnb
gptq-batch_size(2)-sequence_length(512)-new_tokens(1000),2,0.142,14.1,7918,62.9,8279,gptq
gptq-batch_size(1)-sequence_length(512)-new_tokens(1000),1,0.0828,12.1,7669,31.7,7824,gptq
bnb-batch_size(1)-sequence_length(512)-new_tokens(1000),1,0.0865,11.6,7822,23.0,7960,bnb
awq-batch_size(16)-sequence_length(512)-new_tokens(1000),16,2.52,6.35,14486,312.0,15080,awq
awq-batch_size(8)-sequence_length(512)-new_tokens(1000),8,1.27,6.3,10787,229.0,11175,awq
awq-batch_size(4)-sequence_length(512)-new_tokens(1000),4,0.638,6.27,8958,122.0,9101,awq
awq-batch_size(2)-sequence_length(512)-new_tokens(1000),2,0.321,6.23,7824,62.9,8136,awq
awq-batch_size(1)-sequence_length(512)-new_tokens(1000),1,0.164,6.1,7589,31.2,7660,awq
